2014,O'FAOLAINS BOY (IRE),Barry Geraghty,Rebecca Curtis,SMAD PLACE (FR),Robert Thornton,Alan King,MORNING ASSEMBLY (IRE),Davy Russell,"P. A. Fahy, Ireland",98,rsa
2013,LORD WINDERMERE (IRE),Davy Russell,"J. Culloty, Ireland",LYREEN LEGEND (IRE),B. J. Cooper,"D. T. Hughes, Ireland",HADRIAN'S APPROACH (IRE),Barry Geraghty,Nicky Henderson,99,rsa
2012,BOBS WORTH (IRE),Barry Geraghty,Nicky Henderson,FIRST LIEUTENANT (IRE),Davy Russell,"M. F. Morris, Ireland",CALL THE POLICE (IRE),P. Townend,"W. P. Mullins, Ireland",100,rsa
2011,BOSTONS ANGEL (IRE),Robbie Power,"Mrs J. Harrington, Ireland",JESSIES DREAM (IRE),Timmy Murphy,"Gordon Elliott, Ireland",WAYWARD PRINCE,A. P. McCoy,Ian Williams,101,rsa
2010,WEAPON'S AMNESTY (IRE),Davy Russell,"Charles Byrnes, Ireland",BURTON PORT (IRE),A. P. McCoy,Nicky Henderson,LONG RUN (FR),Mr Sam Waley-Cohen,Nicky Henderson,102,rsa
2009,COOLDINE (IRE),R. Walsh,"W. P. Mullins, Ireland",HORNER WOODS (IRE),Robbie Power,"Mrs J. Harrington, Ireland",MASSINI'S MAGUIRE (IRE),Richard Johnson,Philip Hobbs,103,rsa
2008,ALBERTAS RUN (IRE),A. P. McCoy,Jonjo O Neill,ROLL ALONG (IRE),Timmy Murphy,Carl Llewellyn,BATTLECRY,Paddy Brennan,Nigel Twiston-Davies,104,rsa
2007,DENMAN (IRE),R. Walsh,Paul Nicholls,SNOWY MORNING (IRE),Mick Fitzgerald,"W. P. Mullins, Ireland",ACCORDING TO JOHN (IRE),Tony Dobbin,Nicky Richards,105,rsa
2006,STAR DE MOHAISON (FR),Barry Geraghty,Paul Nicholls,IDLE TALK (IRE),Jason Maguire,Tom George,DARKNESS,Paddy Brennan,Charles Egerton,106,rsa
2005,TRABOLGAN (IRE),Mick Fitzgerald,Nicky Henderson,COMPLY OR DIE (IRE),Timmy Murphy,M. C. Pipe,CORNISH REBEL (IRE),R. Walsh,Paul Nicholls,107,rsa
2004,RULE SUPREME (IRE),D. J. Casey,"W. P. Mullins, Ireland",ROYAL EMPEROR (IRE),Dominic Elsworth,Sue Smith,OUR VIC (IRE),A. P. McCoy,M. C. Pipe,108,rsa
2003,ONE KNIGHT (IRE),Richard Johnson,Philip Hobbs,JAIR DU COCHET (FR),J. Ricou,"Guillaume Macaire, France",BARROW DRIVE,Barry Geraghty,"Anthony Mullins, Ireland",109,rsa
2002,HUSSARD COLLONGES (FR),Russ Garritty,P. Beaumont,IZNOGOUD (FR),A. P. McCoy,M. C. Pipe,CHIVES (IRE),R. Guest,Henrietta C Knight,110,rsa
2023,ENERGUMENE (FR),P. Townend,"W. P. Mullins, Ireland",CAPTAIN GUINNESS (IRE),Rachael Blackmore,"Henry de Bromhead, Ireland",GREANETEEN (FR),Harry Cobden,Paul Nicholls,111,queen mother champion chase
2022,ENERGUMENE (FR),P. Townend,"W. P. Mullins, Ireland",FUNAMBULE SIVOLA (FR),Charlie Deutsch,Venetia Williams,ENVOI ALLEN (FR),Rachael Blackmore,"Henry de Bromhead, Ireland",112,queen mother champion chase
2021,PUT THE KETTLE ON (IRE),Aidan Coleman,"Henry de Bromhead, Ireland",NUBE NEGRA (SPA),Harry Skelton,Dan Skelton,CHACUN POUR SOI (FR),P. Townend,"W. P. Mullins, Ireland",113,queen mother champion chase
2020,POLITOLOGUE (FR),Harry Skelton,Paul Nicholls,DYNAMITE DOLLARS (FR),Harry Cobden,Paul Nicholls,BUN DORAN (IRE),Jonathan Burke,Tom George,114,queen mother champion chase
2019,ALTIOR (IRE),Nico de Boinville,Nicky Henderson,POLITOLOGUE (FR),Harry Cobden,Paul Nicholls,SCEAU ROYAL (FR),Daryl Jacob,Alan King,115,queen mother champion chase
2018,ALTIOR (IRE),Nico de Boinville,Nicky Henderson,MIN (FR),P. Townend,"W. P. Mullins, Ireland",GODS OWN (IRE),Paddy Brennan,Tom George,116,queen mother champion chase
2017,SPECIAL TIARA,Noel Fehily,"Henry de Bromhead, Ireland",FOX NORTON (FR),Aidan Coleman,Colin Tizzard,SIR VALENTINO (FR),Paddy Brennan,Tom George,117,queen mother champion chase
2016,SPRINTER SACRE (FR),Nico de Boinville,Nicky Henderson,UN DE SCEAUX (FR),R. Walsh,"W. P. Mullins, Ireland",SPECIAL TIARA,Noel Fehily,"Henry de Bromhead, Ireland",118,queen mother champion chase
2015,DODGING BULLETS,Sam Twiston-Davies,Paul Nicholls,SOMERSBY (IRE),Brian Hughes,Mick Channon,SPECIAL TIARA,Noel Fehily,"Henry de Bromhead, Ireland",119,queen mother champion chase
2014,SIRE DE GRUGY (FR),Jamie Moore,Gary Moore,SOMERSBY (IRE),Dominic Elsworth,Mick Channon,MODULE (FR),Paddy Brennan,Tom George,120,queen mother champion chase
2013,SPRINTER SACRE (FR),Barry Geraghty,Nicky Henderson,SIZING EUROPE (IRE),A. E. Lynch,"Henry de Bromhead, Ireland",WISHFULL THINKING,Richard Johnson,Philip Hobbs,121,queen mother champion chase
2012,FINIANS RAINBOW (IRE),Barry Geraghty,Nicky Henderson,SIZING EUROPE (IRE),A. E. Lynch,"Henry de Bromhead, Ireland",BIG ZEB (IRE),Robbie Power,"Colm A. Murphy, Ireland",122,queen mother champion chase
2011,SIZING EUROPE (IRE),A. E. Lynch,"Henry de Bromhead, Ireland",BIG ZEB (IRE),Barry Geraghty,"Colm A. Murphy, Ireland",CAPTAIN CEE BEE (IRE),A. P. McCoy,"Edward P. Harty, Ireland",123,queen mother champion chase
2010,BIG ZEB (IRE),Barry Geraghty,"Colm A. Murphy, Ireland",FORPADYDEPLASTERER (IRE),A. P. McCoy,"Thomas Cooper, Ireland",KALAHARI KING (FR),Graham Lee,"Ferdy Murphy, France",124,queen mother champion chase
2009,MASTER MINDED (FR),R. Walsh,Paul Nicholls,WELL CHIEF (GER),Timmy Murphy,David Pipe,PETIT ROBIN (FR),Barry Geraghty,Nicky Henderson,125,queen mother champion chase
2008,MASTER MINDED (FR),R. Walsh,Paul Nicholls,VOY POR USTEDES (FR),Robert Thornton,Alan King,FAIR ALONG (GER),Richard Johnson,Philip Hobbs,126,queen mother champion chase
2007,VOY POR USTEDES (FR),Robert Thornton,Alan King,DEMPSEY (IRE),Noel Fehily,Carl Llewellyn,RIVER CITY (IRE),Tom Doyle,Noel Chance,127,queen mother champion chase
